_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,C-14 POPULATION IN FIVE YEAR AGE-GROUP BY RESIDENCE AND SEX ,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13
Table,State,Distt.,Area Name,Age-group,Total ,,,Rural,,,Urban,,
Name,Code,Code,,,,,,,,,,,
,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C4114,05,000,State - UTTARAKHAND (05),55-59,318461.0,151865.0,166596.0,221366.0,100962.0,120404.0,97095.0,50903.0,46192.0
C4114,05,000,State - UTTARAKHAND (05),60-64,329056.0,163220.0,165836.0,244791.0,119263.0,125528.0,84265.0,43957.0,40308.0
C4114,05,000,State - UTTARAKHAND (05),65-69,218759.0,108412.0,110347.0,163102.0,78840.0,84262.0,55657.0,29572.0,26085.0
C4114,05,000,State - UTTARAKHAND (05),70-74,163443.0,80970.0,82473.0,124907.0,60605.0,64302.0,38536.0,20365.0,18171.0
C4114,05,000,State - UTTARAKHAND (05),75-79,84646.0,40837.0,43809.0,64561.0,30697.0,33864.0,20085.0,10140.0,9945.0
C4114,05,000,State - UTTARAKHAND (05),80+,104905.0,48458.0,56447.0,78653.0,36196.0,42457.0,26252.0,12262.0,13990.0
C4114,05,000,State - UTTARAKHAND (05),Age not stated,16608.0,9312.0,7296.0,10472.0,5748.0,4724.0,6136.0,3564.0,2572.0
C4114,06,000,State - HARYANA (06),All ages,25351462.0,13494734.0,11856728.0,16509359.0,8774006.0,7735353.0,8842103.0,4720728.0,4121375.0
C4114,06,000,State - HARYANA (06),0-4,2362519.0,1283789.0,1078730.0,1602923.0,870623.0,732300.0,759596.0,413166.0,346430.0
C4114,06,000,State - HARYANA (06),5-9,2498757.0,1371825.0,1126932.0,1679882.0,920472.0,759410.0,818875.0,451353.0,367522.0
C4114,06,000,State - HARYANA (06),10-14,2668678.0,1474136.0,1194542.0,1812859.0,996086.0,816773.0,855819.0,478050.0,377769.0
C4114,06,000,State - HARYANA (06),15-19,2677390.0,1487548.0,1189842.0,1799991.0,994391.0,805600.0,877399.0,493157.0,384242.0
C4114,06,000,State - HARYANA (06),20-24,2567486.0,1372799.0,1194687.0,1658579.0,889577.0,769002.0,908907.0,483222.0,425685.0
C4114,06,000,State - HARYANA (06),25-29,2231959.0,1178340.0,1053619.0,1384241.0,737729.0,646512.0,847718.0,440611.0,407107.0
C4114,06,000,State - HARYANA (06),30-34,1893591.0,976844.0,916747.0,1174200.0,605409.0,568791.0,719391.0,371435.0,347956.0
C4114,06,000,State - HARYANA (06),35-39,1761863.0,912717.0,849146.0,1097613.0,569510.0,528103.0,664250.0,343207.0,321043.0
C4114,06,000,State - HARYANA (06),40-44,1505950.0,790581.0,715369.0,947369.0,495956.0,451413.0,558581.0,294625.0,263956.0
C4114,06,000,State - HARYANA (06),45-49,1241814.0,655749.0,586065.0,765054.0,403338.0,361716.0,476760.0,252411.0,224349.0
C4114,06,000,State - HARYANA (06),50-54,965228.0,510688.0,454540.0,590288.0,310495.0,279793.0,374940.0,200193.0,174747.0
C4114,06,000,State - HARYANA (06),55-59,750938.0,374209.0,376729.0,462888.0,224344.0,238544.0,288050.0,149865.0,138185.0
C4114,06,000,State - HARYANA (06),60-64,844349.0,413958.0,430391.0,573957.0,276636.0,297321.0,270392.0,137322.0,133070.0
C4114,06,000,State - HARYANA (06),65-69,504439.0,255270.0,249169.0,343427.0,171739.0,171688.0,161012.0,83531.0,77481.0
C4114,06,000,State - HARYANA (06),70-74,374161.0,188304.0,185857.0,260398.0,130774.0,129624.0,113763.0,57530.0,56233.0
C4114,06,000,State - HARYANA (06),75-79,196217.0,97692.0,98525.0,136964.0,68101.0,68863.0,59253.0,29591.0,29662.0
C4114,06,000,State - HARYANA (06),80+,274589.0,133397.0,141192.0,198145.0,97815.0,100330.0,76444.0,35582.0,40862.0
C4114,06,000,State - HARYANA (06),Age not stated,31534.0,16888.0,14646.0,20581.0,11011.0,9570.0,10953.0,5877.0,5076.0
C4114,07,000,State - NCT OF DELHI (07),All ages,16787941.0,8987326.0,7800615.0,419042.0,226321.0,192721.0,16368899.0,8761005.0,7607894.0
C4114,07,000,State - NCT OF DELHI (07),0-4,1381200.0,734336.0,646864.0,39125.0,21481.0,17644.0,1342075.0,712855.0,629220.0
C4114,07,000,State - NCT OF DELHI (07),5-9,1535972.0,829487.0,706485.0,42594.0,23698.0,18896.0,1493378.0,805789.0,687589.0
C4114,07,000,State - NCT OF DELHI (07),10-14,1648147.0,895446.0,752701.0,45883.0,25479.0,20404.0,1602264.0,869967.0,732297.0
C4114,07,000,State - NCT OF DELHI (07),15-19,1667375.0,925118.0,742257.0,44367.0,24916.0,19451.0,1623008.0,900202.0,722806.0
C4114,07,000,State - NCT OF DELHI (07),20-24,1764060.0,951411.0,812649.0,44407.0,23805.0,20602.0,1719653.0,927606.0,792047.0
C4114,07,000,State - NCT OF DELHI (07),25-29,1668326.0,878196.0,790130.0,39250.0,20584.0,18666.0,1629076.0,857612.0,771464.0
C4114,07,000,State - NCT OF DELHI (07),30-34,1434699.0,757455.0,677244.0,33833.0,17431.0,16402.0,1400866.0,740024.0,660842.0
C4114,07,000,State - NCT OF DELHI (07),35-39,1319244.0,698455.0,620789.0,31648.0,16738.0,14910.0,1287596.0,681717.0,605879.0
C4114,07,000,State - NCT OF DELHI (07),40-44,1097197.0,590858.0,506339.0,25962.0,14180.0,11782.0,1071235.0,576678.0,494557.0
C4114,07,000,State - NCT OF DELHI (07),45-49,911213.0,495227.0,415986.0,19676.0,10981.0,8695.0,891537.0,484246.0,407291.0
C4114,07,000,State - NCT OF DELHI (07),50-54,687469.0,376222.0,311247.0,14347.0,7917.0,6430.0,673122.0,368305.0,304817.0
C4114,07,000,State - NCT OF DELHI (07),55-59,508892.0,269185.0,239707.0,10299.0,5372.0,4927.0,498593.0,263813.0,234780.0
C4114,07,000,State - NCT OF DELHI (07),60-64,472019.0,238103.0,233916.0,11624.0,5700.0,5924.0,460395.0,232403.0,227992.0
C4114,07,000,State - NCT OF DELHI (07),65-69,272452.0,139398.0,133054.0,6123.0,3125.0,2998.0,266329.0,136273.0,130056.0
C4114,07,000,State - NCT OF DELHI (07),70-74,189250.0,94947.0,94303.0,4318.0,2171.0,2147.0,184932.0,92776.0,92156.0
C4114,07,000,State - NCT OF DELHI (07),75-79,100693.0,50446.0,50247.0,2047.0,980.0,1067.0,98646.0,49466.0,49180.0
C4114,07,000,State - NCT OF DELHI (07),80+,113031.0,53861.0,59170.0,3022.0,1482.0,1540.0,110009.0,52379.0,57630.0
C4114,07,000,State - NCT OF DELHI (07),Age not stated,16702.0,9175.0,7527.0,517.0,281.0,236.0,16185.0,8894.0,7291.0
C4114,08,000,State - RAJASTHAN (08),All ages,68548437.0,35550997.0,32997440.0,51500352.0,26641747.0,24858605.0,17048085.0,8909250.0,8138835.0
C4114,08,000,State - RAJASTHAN (08),0-4,7302170.0,3858574.0,3443596.0,5770924.0,3045730.0,2725194.0,1531246.0,812844.0,718402.0
C4114,08,000,State - RAJASTHAN (08),5-9,8042738.0,4258873.0,3783865.0,6326379.0,3336981.0,2989398.0,1716359.0,921892.0,794467.0
C4114,08,000,State - RAJASTHAN (08),10-14,8380518.0,4430696.0,3949822.0,6537189.0,3446732.0,3090457.0,1843329.0,983964.0,859365.0
C4114,08,000,State - RAJASTHAN (08),15-19,7314017.0,3889874.0,3424143.0,5496935.0,2918083.0,2578852.0,1817082.0,971791.0,845291.0
C4114,08,000,State - RAJASTHAN (08),20-24,6426494.0,3377483.0,3049011.0,4682761.0,2471674.0,2211087.0,1743733.0,905809.0,837924.0
