geo_code,geo_level,age_group,area,Total,sex
17,state ,45-49,Rural,46129.0,Female
17,state ,50-54,Rural,32313.0,Female
17,state ,55-59,Rural,22308.0,Female
17,state ,60-64,Rural,19673.0,Female
17,state ,65-69,Rural,14468.0,Female
17,state ,70-74,Rural,9718.0,Female
17,state ,75-79,Rural,5211.0,Female
17,state ,80+,Rural,6558.0,Female
17,state ,Age not stated,Rural,2180.0,Female
18,state ,0-4,Rural,1425698.0,Female
18,state ,5-9,Rural,1566579.0,Female
18,state ,10-14,Rural,1512002.0,Female
18,state ,15-19,Rural,1275599.0,Female
18,state ,20-24,Rural,1274492.0,Female
18,state ,25-29,Rural,1203447.0,Female
18,state ,30-34,Rural,964890.0,Female
18,state ,35-39,Rural,917721.0,Female
18,state ,40-44,Rural,713502.0,Female
18,state ,45-49,Rural,617507.0,Female
18,state ,50-54,Rural,454998.0,Female
18,state ,55-59,Rural,331219.0,Female
18,state ,60-64,Rural,321702.0,Female
18,state ,65-69,Rural,210605.0,Female
18,state ,70-74,Rural,160721.0,Female
18,state ,75-79,Rural,72216.0,Female
18,state ,80+,Rural,97980.0,Female
18,state ,Age not stated,Rural,7167.0,Female
19,state ,0-4,Rural,2662779.0,Female
19,state ,5-9,Rural,2963285.0,Female
19,state ,10-14,Rural,3276066.0,Female
19,state ,15-19,Rural,3083091.0,Female
19,state ,20-24,Rural,2980049.0,Female
19,state ,25-29,Rural,2631501.0,Female
19,state ,30-34,Rural,2197087.0,Female
19,state ,35-39,Rural,2290624.0,Female
19,state ,40-44,Rural,1924134.0,Female
19,state ,45-49,Rural,1614943.0,Female
19,state ,50-54,Rural,1224592.0,Female
19,state ,55-59,Rural,962669.0,Female
19,state ,60-64,Rural,864930.0,Female
19,state ,65-69,Rural,654549.0,Female
19,state ,70-74,Rural,455273.0,Female
19,state ,75-79,Rural,238972.0,Female
19,state ,80+,Rural,291610.0,Female
19,state ,Age not stated,Rural,22014.0,Female
20,state ,0-4,Rural,1447252.0,Female
20,state ,5-9,Rural,1637087.0,Female
20,state ,10-14,Rural,1575146.0,Female
20,state ,15-19,Rural,1091046.0,Female
20,state ,20-24,Rural,1021175.0,Female
20,state ,25-29,Rural,965535.0,Female
20,state ,30-34,Rural,847978.0,Female
20,state ,35-39,Rural,770806.0,Female
20,state ,40-44,Rural,635768.0,Female
20,state ,45-49,Rural,541511.0,Female
20,state ,50-54,Rural,413692.0,Female
20,state ,55-59,Rural,376767.0,Female
20,state ,60-64,Rural,380411.0,Female
20,state ,65-69,Rural,255496.0,Female
20,state ,70-74,Rural,155920.0,Female
20,state ,75-79,Rural,65428.0,Female
20,state ,80+,Rural,70730.0,Female
20,state ,Age not stated,Rural,26839.0,Female
21,state ,0-4,Rural,1527603.0,Female
21,state ,5-9,Rural,1712426.0,Female
21,state ,10-14,Rural,1832853.0,Female
21,state ,15-19,Rural,1623182.0,Female
21,state ,20-24,Rural,1565184.0,Female
21,state ,25-29,Rural,1472606.0,Female
21,state ,30-34,Rural,1272986.0,Female
21,state ,35-39,Rural,1244799.0,Female
21,state ,40-44,Rural,1069929.0,Female
21,state ,45-49,Rural,922862.0,Female
21,state ,50-54,Rural,739533.0,Female
21,state ,55-59,Rural,628219.0,Female
21,state ,60-64,Rural,638752.0,Female
21,state ,65-69,Rural,430391.0,Female
21,state ,70-74,Rural,337254.0,Female
21,state ,75-79,Rural,156525.0,Female
21,state ,80+,Rural,162515.0,Female
21,state ,Age not stated,Rural,46740.0,Female
22,state ,0-4,Rural,1004892.0,Female
22,state ,5-9,Rural,1088641.0,Female
22,state ,10-14,Rural,1134553.0,Female
22,state ,15-19,Rural,988717.0,Female
22,state ,20-24,Rural,888767.0,Female
22,state ,25-29,Rural,737655.0,Female
22,state ,30-34,Rural,683545.0,Female
22,state ,35-39,Rural,666074.0,Female
22,state ,40-44,Rural,588938.0,Female
22,state ,45-49,Rural,481879.0,Female
22,state ,50-54,Rural,364932.0,Female
22,state ,55-59,Rural,312099.0,Female
22,state ,60-64,Rural,314817.0,Female
22,state ,65-69,Rural,234210.0,Female
22,state ,70-74,Rural,160401.0,Female
22,state ,75-79,Rural,73190.0,Female
22,state ,80+,Rural,80480.0,Female
22,state ,Age not stated,Rural,6745.0,Female
23,state ,0-4,Rural,2781364.0,Female
23,state ,5-9,Rural,3055332.0,Female
23,state ,10-14,Rural,3142934.0,Female
23,state ,15-19,Rural,2497373.0,Female
23,state ,20-24,Rural,2197131.0,Female
23,state ,25-29,Rural,1923404.0,Female
23,state ,30-34,Rural,1797462.0,Female
23,state ,35-39,Rural,1657138.0,Female
23,state ,40-44,Rural,1409839.0,Female
23,state ,45-49,Rural,1164791.0,Female
23,state ,50-54,Rural,859466.0,Female
23,state ,55-59,Rural,733099.0,Female
23,state ,60-64,Rural,725303.0,Female
23,state ,65-69,Rural,556687.0,Female
23,state ,70-74,Rural,418606.0,Female
23,state ,75-79,Rural,206337.0,Female
23,state ,80+,Rural,259315.0,Female
23,state ,Age not stated,Rural,22435.0,Female
24,state ,0-4,Rural,1632035.0,Female
24,state ,5-9,Rural,1706579.0,Female
24,state ,10-14,Rural,1798502.0,Female
24,state ,15-19,Rural,1624960.0,Female
24,state ,20-24,Rural,1515353.0,Female
24,state ,25-29,Rural,1328138.0,Female
24,state ,30-34,Rural,1258397.0,Female
24,state ,35-39,Rural,1149061.0,Female
24,state ,40-44,Rural,1052829.0,Female
24,state ,45-49,Rural,891708.0,Female
24,state ,50-54,Rural,732093.0,Female
24,state ,55-59,Rural,592318.0,Female
24,state ,60-64,Rural,528694.0,Female
24,state ,65-69,Rural,383659.0,Female
24,state ,70-74,Rural,303123.0,Female
24,state ,75-79,Rural,148461.0,Female
24,state ,80+,Rural,193131.0,Female
24,state ,Age not stated,Rural,56409.0,Female
25,state ,0-4,Rural,2482.0,Female
25,state ,5-9,Rural,2785.0,Female
25,state ,10-14,Rural,3033.0,Female
25,state ,15-19,Rural,2889.0,Female
25,state ,20-24,Rural,2907.0,Female
