table,state_code,district_code,area_name,total,age_group,total_p,total_m,total_f,never_married_t,never_married_m,never_married_f,curr_married_t,curr_married_m,curr_married_f,widowed_t,widowed_m,widowed_f,separated_t,separated_m,separated_f,divorced_t,divorced_m,divorced_f,unspecified_t,unspecified_m,unspecified_f
C0402,0,0,INDIA,Urban,50-54,17037466,9053719,7983747,340419,189786,150633,14907968,8551425,6356543,1659463,269609,1389854,92400,30052,62348,37216,12847,24369,0,0,0
C0402,0,0,INDIA,Urban,55-59,13284541,6919483,6365058,247800,130394,117406,11240915,6471259,4769656,1711785,289985,1421800,60733,19899,40834,23308,7946,15362,0,0,0
C0402,0,0,INDIA,Urban,60-64,11372462,5770157,5602305,264361,133438,130923,8621154,5204479,3416675,2420516,410441,2010075,49337,16246,33091,17094,5553,11541,0,0,0
C0402,0,0,INDIA,Urban,65-69,7538713,3736015,3802698,231220,119175,112045,5198184,3224896,1973288,2072249,378989,1693260,27730,9874,17856,9330,3081,6249,0,0,0
C0402,0,0,INDIA,Urban,70-74,5401242,2673320,2727922,134855,69403,65452,3207616,2181692,1025924,2035116,413191,1621925,17460,7010,10450,6195,2024,4171,0,0,0
C0402,0,0,INDIA,Urban,75-79,2848786,1377179,1471607,71228,35655,35573,1527287,1049004,478283,1238818,287853,950965,8414,3678,4736,3039,989,2050,0,0,0
C0402,0,0,INDIA,Urban,80+,3394015,1517899,1876116,246985,142294,104691,1425884,943022,482862,1707705,427168,1280537,9403,4155,5248,4038,1260,2778,0,0,0
C0402,0,0,INDIA,Urban,Age not stated,1576350,839461,736889,826303,503860,322443,680786,319560,361226,63593,13732,49861,3764,1562,2202,1904,747,1157,0,0,0
C0402,0,0,INDIA,Urban,Less than 18,120078346,63236981,56841365,118007547,62560875,55446672,1962433,634506,1327927,64910,20947,43963,35429,17150,18279,8027,3503,4524,0,0,0
C0402,0,0,INDIA,Urban,Less than 21,144373268,76019958,68353310,137591181,74359831,63231350,6585135,1591948,4993187,113948,34867,79081,65004,27426,37578,18000,5886,12114,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,All ages,12541302,6640662,5900640,6868487,3803063,3065424,5233255,2702439,2530816,403425,119775,283650,18066,8397,9669,18069,6988,11081,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,0-9,2826857,1510319,1316538,2826857,1510319,1316538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,10-14,1413853,744855,668998,1390103,735299,654804,22412,8938,13474,752,338,414,474,238,236,112,42,70,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,15-19,1237462,640362,597100,1164768,619890,544878,70857,19740,51117,1049,394,655,562,258,304,226,80,146,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,20-24,1160913,603578,557335,824471,489767,334704,331703,112025,219678,2537,848,1689,1210,648,562,992,290,702,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,25-29,1086122,584559,501563,409021,272833,136188,668659,308479,360180,4539,1524,3015,2051,1130,921,1852,593,1259,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,30-34,926903,495746,431157,135058,93977,41081,779604,397604,382000,7752,2472,5280,1962,813,1149,2527,880,1647,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,35-39,837945,441265,396680,41338,29243,12095,779603,406605,372998,12143,3518,8625,2026,841,1185,2835,1058,1777,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,40-44,714085,387739,326346,19301,13479,5822,671494,367317,304177,18753,5247,13506,1932,756,1176,2605,940,1665,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,45-49,590790,311560,279230,9752,6976,2776,553342,296449,256893,24042,6639,17403,1678,666,1012,1976,830,1146,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,50-54,468566,255599,212967,7254,5191,2063,423212,239528,183684,35043,9590,25453,1468,621,847,1589,669,920,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,55-59,340031,172753,167278,4627,3250,1377,301197,159684,141513,32304,8988,23316,966,400,566,937,431,506,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,60-64,322726,173427,149299,6812,4458,2354,255615,152098,103517,58254,15928,42326,1139,527,612,906,416,490,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Total,65-69,203965,102743,101222,5213,3163,2050,151448,85959,65489,46034,12998,33036,776,395,381,494,228,266,0,0,0
